Frequency_Hz,Re_Z_ohm,Im_Z_ohm,NegIm_Z_ohm
33.6105409,-2370272.1773132905,1545160.9931680697,-1545160.9931680697
34.3297894,3295082.2900753845,-1671690.656878844,1671690.656878844
35.0644293,-1330840.1511367306,-637631.7624424953,637631.7624424953
35.8147902,-475973.90138530376,139184.50914047938,-139184.50914047938
36.5812085,228039.78581924815,901204.4588937963,-901204.4588937963
37.3640277,-1122859.14064833,449111.6144348529,-449111.6144348529
38.1635988,404658.0666585374,9182.976153653195,-9182.976153653195
38.9802803,404996.0455803385,507329.78372610325,-507329.78372610325
39.8144384,212576.7843157092,170916.12272672745,-170916.12272672745
40.6664471,-561836.6335704436,770470.3375414883,-770470.3375414883
41.5366883,454499.5941426226,237606.64576928274,-237606.64576928274
42.4255522,-338410.4598666557,90676.80943151515,-90676.80943151515
43.3334374,-29392.637493632235,-731812.7795423256,731812.7795423256
44.2607508,317637.7590530984,23325.858938146524,-23325.858938146524
45.2079083,-1434510.2912422628,1300734.502800195,-1300734.502800195
46.1753345,-359310.6361551781,-767046.0726917911,767046.0726917911
47.163463,305556.7750263732,887401.3097791448,-887401.3097791448
48.1727371,-235550.10452899575,-347906.0505389851,347906.0505389851
49.2036091,-339620.16407430574,17204.41532073712,-17204.41532073712
50.2565412,104637.03965345304,-717260.8347335305,717260.8347335305
51.3320055,-793578.6347758007,214123.9489443694,-214123.9489443694
52.4304842,394702.53914365853,816481.4178573727,-816481.4178573727
53.5524698,235083.75046179967,-203635.93255526343,203635.93255526343
54.6984654,-61139.22475881773,292656.9620858862,-292656.9620858862
55.8689846,-1149732.3859606676,-2256476.859205912,2256476.859205912
57.0645524,-312317.5553862195,229420.05241848872,-229420.05241848872
58.2857047,226237.68284528537,276408.43528279697,-276408.43528279697
59.532989,-560799.5346547522,407444.7116122954,-407444.7116122954
60.8069646,342753.4134012498,-347572.8783816743,347572.8783816743
62.1082026,-1761070.2266957778,806280.900968008,-806280.900968008
63.4372864,-788032.6760178457,-68943.92563955847,68943.92563955847
64.794812,-304368.27146425884,-202988.40383344557,202988.40383344557
66.1813879,597070.6418074697,-233989.42586840317,233989.42586840317
67.5976358,1268087.4240304215,-203114.69692154982,203114.69692154982
69.0441907,-21274.12244189352,468492.55514255934,-468492.55514255934
70.5217011,-727169.1951972113,-319204.95976167405,319204.95976167405
72.0308295,218193.9310433952,113100.99125156061,-113100.99125156061
73.5722525,-110394.85794048177,567932.3097601829,-567932.3097601829
75.1466612,-23539.103476149263,-464668.75134641817,464668.75134641817
76.7547614,644938.4894067417,60964.63664766319,-60964.63664766319
78.3972741,57603.81282859755,-214980.35618601323,214980.35618601323
80.0749358,969978.0682544207,466818.9191330494,-466818.9191330494
81.7884985,-326395.48207927216,-21679.163999787226,21679.163999787226
83.5387306,744683.0188741165,348835.01626783545,-348835.01626783545
85.3264168,617026.8146652647,964817.9402040492,-964817.9402040492
87.1523586,-906836.1955626789,1314533.9001687048,-1314533.9001687048
89.0173746,235029.3894568121,-14786.795832503445,14786.795832503445
90.922301,-19398.250604608413,-653595.1300499926,653595.1300499926
92.8679918,-467685.5344678139,310729.5261880881,-310729.5261880881
94.8553194,-202372.3326066545,-45977.86590412065,45977.86590412065
96.8851749,988534.3261222538,841308.6555241499,-841308.6555241499
98.9584681,-432094.95118293585,275274.8432437144,-275274.8432437144
101.076129,-522426.2058466585,97769.40695450445,-97769.40695450445
103.239106,1069496.5115453356,652823.4587955979,-652823.4587955979
105.448371,103790.37566711934,-137235.47645357825,137235.47645357825
107.704912,801639.7840709817,46222.2591242681,-46222.2591242681
110.009742,199485.52637026308,-104732.24278229302,104732.24278229302
112.363894,2311493.3720754976,-520917.5291549139,520917.5291549139
114.768424,-1290870.8229520007,907239.2095213826,-907239.2095213826
117.22441,20616.043334549067,1181092.3316141893,-1181092.3316141893
119.732953,-107197.62441038655,97542.33311242472,-97542.33311242472
122.295177,-210078.23641842554,1090920.8140462697,-1090920.8140462697
124.912231,-156674.7212960097,-423546.80693835847,423546.80693835847
127.585289,-218592.83316594042,-767376.1030217578,767376.1030217578
130.315549,-475464.60257736704,256011.31136742674,-256011.31136742674
133.104235,433044.1181462435,338331.1451509362,-338331.1451509362
135.952598,-1197539.8301539235,323121.0446122644,-323121.0446122644
138.861914,666687.5181174543,-65369.28269088729,65369.28269088729
141.833488,-271233.4244631823,168827.93764846408,-168827.93764846408
144.868653,-471714.658732319,-287935.85743749636,287935.85743749636
147.968768,121603.0066813274,330507.29383471975,-330507.29383471975
151.135224,326484.92804746097,-379573.74646201223,379573.74646201223
154.369441,-224967.02985519567,-381918.22964949603,381918.22964949603
