% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 100.0000 mHz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-04 T 17:32:22 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
6.48828445e-01, -3.4038e+01, -1.7969e+02, -2.7310e+00, -1.2478e+02, -3.1307e+01, -5.4906e+01
6.63612602e-01, -3.3931e+01, -1.7969e+02, -2.5721e+00, -1.2484e+02, -3.1359e+01, -5.4845e+01
6.78733630e-01, -3.4000e+01, -1.7972e+02, -2.4094e+00, -1.2501e+02, -3.1590e+01, -5.4711e+01
6.94199204e-01, -3.3980e+01, 1.7973e+02, -2.2554e+00, -1.2523e+02, -3.1724e+01, -5.5045e+01
7.10017176e-01, -3.3995e+01, 1.7993e+02, -2.0966e+00, -1.2535e+02, -3.1898e+01, -5.4719e+01
7.26195575e-01, -3.4027e+01, 1.7926e+02, -1.9436e+00, -1.2555e+02, -3.2083e+01, -5.5198e+01
7.42742614e-01, -3.3923e+01, 1.7981e+02, -1.7889e+00, -1.2577e+02, -3.2134e+01, -5.4421e+01
7.59666692e-01, -3.4058e+01, 1.7996e+02, -1.6361e+00, -1.2599e+02, -3.2422e+01, -5.4051e+01
7.76976402e-01, -3.3999e+01, -1.7973e+02, -1.4852e+00, -1.2618e+02, -3.2514e+01, -5.3546e+01
7.94680529e-01, -3.4033e+01, 1.7994e+02, -1.3243e+00, -1.2648e+02, -3.2708e+01, -5.3576e+01
8.12788061e-01, -3.4028e+01, 1.7979e+02, -1.1771e+00, -1.2671e+02, -3.2851e+01, -5.3508e+01
8.31308189e-01, -3.3982e+01, -1.7989e+02, -1.0249e+00, -1.2688e+02, -3.2957e+01, -5.3010e+01
8.50250316e-01, -3.4049e+01, 1.7983e+02, -8.7422e-01, -1.2720e+02, -3.3175e+01, -5.2979e+01
8.69624057e-01, -3.4048e+01, -1.7971e+02, -7.1980e-01, -1.2749e+02, -3.3328e+01, -5.2217e+01
8.89439247e-01, -3.3950e+01, -1.7999e+02, -5.8391e-01, -1.2776e+02, -3.3366e+01, -5.2226e+01
9.09705944e-01, -3.3949e+01, -1.7967e+02, -4.4199e-01, -1.2814e+02, -3.3507e+01, -5.1525e+01
9.30434437e-01, -3.4022e+01, 1.7980e+02, -2.9187e-01, -1.2835e+02, -3.3730e+01, -5.1842e+01
9.51635247e-01, -3.4024e+01, 1.7949e+02, -1.4574e-01, -1.2865e+02, -3.3878e+01, -5.1853e+01
9.73319138e-01, -3.3990e+01, -1.7980e+02, -3.5435e-03, -1.2915e+02, -3.3986e+01, -5.0652e+01
9.95497116e-01, -3.3922e+01, 1.7987e+02, 1.3319e-01, -1.2942e+02, -3.4055e+01, -5.0710e+01
