% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 20.00000 MHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 14:19:53 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
3.85423116e+01, -3.3832e+01, 1.7914e+02, -4.9976e+01, -1.1342e+02, 1.6143e+01, -6.7449e+01
3.98313924e+01, -3.4135e+01, 1.8059e+02, -4.9645e+01, -1.1012e+02, 1.5510e+01, -6.9292e+01
4.11635877e+01, -3.3915e+01, 1.7971e+02, -4.9661e+01, -1.0853e+02, 1.5745e+01, -7.1760e+01
4.25403393e+01, -3.3837e+01, 1.7952e+02, -4.9914e+01, -1.1234e+02, 1.6077e+01, -6.8139e+01
4.39631377e+01, -3.3852e+01, 1.7960e+02, -4.8670e+01, -1.1303e+02, 1.4818e+01, -6.7364e+01
4.54335227e+01, -3.3854e+01, 1.8049e+02, -4.8782e+01, -1.1598e+02, 1.4928e+01, -6.3523e+01
4.69530860e+01, -3.3844e+01, 1.7970e+02, -4.8428e+01, -1.1306e+02, 1.4584e+01, -6.7247e+01
4.85234725e+01, -3.3874e+01, 1.7888e+02, -4.7833e+01, -1.1358e+02, 1.3958e+01, -6.7532e+01
5.01463819e+01, -3.3951e+01, 1.8054e+02, -4.7532e+01, -1.0793e+02, 1.3581e+01, -7.1530e+01
5.18235708e+01, -3.3943e+01, 1.8046e+02, -4.7769e+01, -1.1691e+02, 1.3826e+01, -6.2625e+01
5.35568548e+01, -3.3725e+01, 1.7942e+02, -4.6984e+01, -1.1298e+02, 1.3259e+01, -6.7605e+01
5.53481100e+01, -3.3905e+01, 1.8046e+02, -4.6669e+01, -1.1366e+02, 1.2765e+01, -6.5872e+01
5.71992753e+01, -3.3846e+01, 1.7894e+02, -4.6024e+01, -1.0953e+02, 1.2178e+01, -7.1531e+01
5.91123544e+01, -3.3805e+01, 1.8020e+02, -4.6961e+01, -1.1055e+02, 1.3156e+01, -6.9247e+01
6.10894180e+01, -3.3951e+01, 1.8073e+02, -4.6125e+01, -1.0986e+02, 1.2175e+01, -6.9411e+01
6.31326063e+01, -3.4042e+01, 1.7985e+02, -4.6116e+01, -1.0978e+02, 1.2074e+01, -7.0367e+01
6.52441307e+01, -3.3852e+01, 1.7850e+02, -4.6088e+01, -1.1251e+02, 1.2236e+01, -6.8985e+01
6.74262769e+01, -3.3817e+01, 1.7937e+02, -4.5919e+01, -1.1138e+02, 1.2102e+01, -6.9256e+01
6.96814069e+01, -3.3948e+01, 1.7976e+02, -4.6111e+01, -1.0846e+02, 1.2163e+01, -7.1788e+01
7.20119616e+01, -3.3781e+01, 1.7987e+02, -4.5068e+01, -1.1248e+02, 1.1287e+01, -6.7652e+01
7.44204637e+01, -3.3829e+01, 1.8014e+02, -4.4798e+01, -1.1768e+02, 1.0969e+01, -6.2187e+01
7.69095203e+01, -3.3732e+01, 1.8011e+02, -4.5028e+01, -1.1069e+02, 1.1297e+01, -6.9202e+01
7.94818255e+01, -3.3914e+01, 1.8114e+02, -4.4269e+01, -1.1542e+02, 1.0354e+01, -6.3441e+01
8.21401637e+01, -3.3838e+01, 1.8060e+02, -4.4725e+01, -1.0748e+02, 1.0887e+01, -7.1924e+01
8.48874123e+01, -3.3814e+01, 1.7857e+02, -4.4385e+01, -1.1548e+02, 1.0571e+01, -6.5943e+01
8.77265450e+01, -3.3877e+01, 1.8006e+02, -4.4233e+01, -1.1027e+02, 1.0356e+01, -6.9665e+01
9.06606349e+01, -3.3852e+01, 1.8004e+02, -4.3765e+01, -1.0878e+02, 9.9132e+00, -7.1177e+01
9.36928580e+01, -3.3790e+01, 1.7972e+02, -4.3731e+01, -1.1523e+02, 9.9406e+00, -6.5048e+01
9.68264964e+01, -3.4073e+01, 1.8080e+02, -4.2985e+01, -1.0888e+02, 8.9118e+00, -7.0323e+01
1.00064942e+02, -3.3869e+01, 1.8005e+02, -4.2922e+01, -1.0994e+02, 9.0529e+00, -7.0007e+01
1.03411700e+02, -3.3966e+01, 1.7946e+02, -4.2661e+01, -1.0938e+02, 8.6956e+00, -7.1157e+01
1.06870394e+02, -3.3795e+01, 1.7991e+02, -4.3148e+01, -1.1288e+02, 9.3529e+00, -6.7210e+01
1.10444766e+02, -3.4123e+01, 1.7966e+02, -4.2963e+01, -1.0938e+02, 8.8406e+00, -7.0959e+01
1.14138687e+02, -3.3873e+01, 1.7911e+02, -4.2443e+01, -1.1353e+02, 8.5700e+00, -6.7357e+01
1.17956153e+02, -3.3830e+01, 1.7912e+02, -4.1937e+01, -1.1685e+02, 8.1072e+00, -6.4038e+01
