% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 5.000000 Hz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 13:35:59 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
1.37482047e+01, -3.4067e+01, 1.8061e+02, -5.8945e+01, -1.0877e+02, 2.4878e+01, -7.0619e+01
1.39542317e+01, -3.3773e+01, 1.7937e+02, -5.8248e+01, -1.1235e+02, 2.4475e+01, -6.8272e+01
1.41633463e+01, -3.4028e+01, 1.8039e+02, -5.7873e+01, -1.1200e+02, 2.3845e+01, -6.7605e+01
1.43755945e+01, -3.3979e+01, 1.8017e+02, -5.7772e+01, -1.0447e+02, 2.3793e+01, -7.5363e+01
1.45910235e+01, -3.3869e+01, 1.7971e+02, -5.7471e+01, -1.1864e+02, 2.3603e+01, -6.1651e+01
1.48096808e+01, -3.3860e+01, 1.8000e+02, -5.7390e+01, -1.0706e+02, 2.3530e+01, -7.2935e+01
1.50316148e+01, -3.3921e+01, 1.8019e+02, -5.7677e+01, -1.1197e+02, 2.3756e+01, -6.7843e+01
1.52568747e+01, -3.3731e+01, 1.7927e+02, -5.6688e+01, -1.0941e+02, 2.2957e+01, -7.1317e+01
1.54855103e+01, -3.3960e+01, 1.7959e+02, -5.7072e+01, -1.1285e+02, 2.3112e+01, -6.7562e+01
1.57175722e+01, -3.4013e+01, 1.8009e+02, -5.7436e+01, -1.0220e+02, 2.3423e+01, -7.7713e+01
1.59531117e+01, -3.3891e+01, 1.7945e+02, -5.7056e+01, -1.1215e+02, 2.3165e+01, -6.8393e+01
1.61921809e+01, -3.3895e+01, 1.8009e+02, -5.6545e+01, -1.1341e+02, 2.2650e+01, -6.6496e+01
1.64348327e+01, -3.4023e+01, 1.7950e+02, -5.6703e+01, -1.1482e+02, 2.2680e+01, -6.5680e+01
1.66811209e+01, -3.3916e+01, 1.7998e+02, -5.6624e+01, -1.1825e+02, 2.2708e+01, -6.1770e+01
1.69310999e+01, -3.3951e+01, 1.8043e+02, -5.6181e+01, -9.8326e+01, 2.2230e+01, -8.1241e+01
1.71848250e+01, -3.3969e+01, 1.8039e+02, -5.8241e+01, -1.0809e+02, 2.4271e+01, -7.1518e+01
1.74423523e+01, -3.3905e+01, 1.7997e+02, -5.7777e+01, -1.0086e+02, 2.3872e+01, -7.9174e+01
