% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset -100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 1.000000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 13:27:37 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
7.91113070e+00, -3.4266e+01, 1.8000e+02, -6.0709e+01, -9.3261e+01, 2.6442e+01, -8.6740e+01
8.01880037e+00, -3.4170e+01, 1.7995e+02, -5.7972e+01, -1.1174e+02, 2.3802e+01, -6.8309e+01
8.12793542e+00, -3.4249e+01, 1.8007e+02, -5.7474e+01, -1.0302e+02, 2.3224e+01, -7.6917e+01
8.23855579e+00, -3.4241e+01, 1.7991e+02, -5.8116e+01, -1.1368e+02, 2.3875e+01, -6.6411e+01
8.35068169e+00, -3.4264e+01, 1.7954e+02, -5.7525e+01, -1.1064e+02, 2.3262e+01, -6.9816e+01
8.46433361e+00, -3.4317e+01, 1.7952e+02, -5.8186e+01, -1.1293e+02, 2.3869e+01, -6.7548e+01
8.57953232e+00, -3.4298e+01, 1.7936e+02, -5.7026e+01, -1.0925e+02, 2.2728e+01, -7.1390e+01
8.69629888e+00, -3.4302e+01, 1.7997e+02, -5.6959e+01, -1.0257e+02, 2.2658e+01, -7.7460e+01
8.81465461e+00, -3.4199e+01, 1.8015e+02, -5.7101e+01, -1.0145e+02, 2.2902e+01, -7.8399e+01
8.93462115e+00, -3.4243e+01, 1.8049e+02, -5.6364e+01, -1.1232e+02, 2.2121e+01, -6.7186e+01
9.05622043e+00, -3.4282e+01, 1.7971e+02, -5.6058e+01, -1.0910e+02, 2.1775e+01, -7.1189e+01
9.17947466e+00, -3.4239e+01, 1.8021e+02, -5.7473e+01, -1.0841e+02, 2.3234e+01, -7.1371e+01
9.30440637e+00, -3.4184e+01, 1.7956e+02, -5.7526e+01, -1.0998e+02, 2.3343e+01, -7.0462e+01
9.43103839e+00, -3.4166e+01, 1.7912e+02, -5.6562e+01, -1.0421e+02, 2.2396e+01, -7.6667e+01
9.55939385e+00, -3.4333e+01, 1.7974e+02, -5.6089e+01, -1.1094e+02, 2.1756e+01, -6.9315e+01
9.68949622e+00, -3.4182e+01, 1.8021e+02, -5.7269e+01, -1.0951e+02, 2.3087e+01, -7.0283e+01
9.82136927e+00, -3.4237e+01, 1.7993e+02, -5.7378e+01, -1.1050e+02, 2.3142e+01, -6.9567e+01
9.95503709e+00, -3.4304e+01, 1.8029e+02, -5.7390e+01, -1.0491e+02, 2.3086e+01, -7.4799e+01
1.00905241e+01, -3.4259e+01, 1.7963e+02, -5.6072e+01, -1.0863e+02, 2.1813e+01, -7.1742e+01
1.02278551e+01, -3.4350e+01, 1.7948e+02, -5.5931e+01, -1.1220e+02, 2.1581e+01, -6.8325e+01
1.03670552e+01, -3.4197e+01, 1.7950e+02, -5.5817e+01, -9.3398e+01, 2.1621e+01, -8.7107e+01
1.05081497e+01, -3.4267e+01, 1.8047e+02, -5.6449e+01, -1.0672e+02, 2.2182e+01, -7.2806e+01
1.06511646e+01, -3.4275e+01, 1.8030e+02, -5.5079e+01, -1.0651e+02, 2.0804e+01, -7.3185e+01
1.07961258e+01, -3.4293e+01, 1.7995e+02, -5.7018e+01, -1.0935e+02, 2.2725e+01, -7.0699e+01
1.09430600e+01, -3.4248e+01, 1.7999e+02, -5.5623e+01, -1.1230e+02, 2.1375e+01, -6.7713e+01
1.10919939e+01, -3.4311e+01, 1.7997e+02, -5.5407e+01, -1.0363e+02, 2.1095e+01, -7.6398e+01
1.12429548e+01, -3.4175e+01, 1.7991e+02, -5.6039e+01, -1.0478e+02, 2.1864e+01, -7.5303e+01
1.13959703e+01, -3.4334e+01, 1.8020e+02, -5.5277e+01, -1.0921e+02, 2.0942e+01, -7.0592e+01
1.15510683e+01, -3.4191e+01, 1.8014e+02, -5.5281e+01, -1.0890e+02, 2.1090e+01, -7.0966e+01
1.17082771e+01, -3.4374e+01, 1.8028e+02, -5.6192e+01, -1.0689e+02, 2.1818e+01, -7.2823e+01
1.18676256e+01, -3.4340e+01, 1.7987e+02, -5.4955e+01, -1.0891e+02, 2.0615e+01, -7.1223e+01
1.20291427e+01, -3.4236e+01, 1.8031e+02, -5.4879e+01, -1.0708e+02, 2.0642e+01, -7.2615e+01
1.21928581e+01, -3.4148e+01, 1.7964e+02, -5.5272e+01, -1.0768e+02, 2.1125e+01, -7.2678e+01
1.23588017e+01, -3.4240e+01, 1.7968e+02, -5.4069e+01, -1.0417e+02, 1.9829e+01, -7.6150e+01
1.25270037e+01, -3.4313e+01, 1.8029e+02, -5.3922e+01, -1.0286e+02, 1.9609e+01, -7.6847e+01
1.26974949e+01, -3.4317e+01, 1.8022e+02, -5.3967e+01, -1.0599e+02, 1.9649e+01, -7.3787e+01
1.28703065e+01, -3.4192e+01, 1.8017e+02, -5.4153e+01, -1.1009e+02, 1.9961e+01, -6.9748e+01
1.30454701e+01, -3.4245e+01, 1.8006e+02, -5.3991e+01, -1.0744e+02, 1.9746e+01, -7.2503e+01
1.32230176e+01, -3.4275e+01, 1.7941e+02, -5.4186e+01, -1.0378e+02, 1.9910e+01, -7.6801e+01
