% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset -100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 10.00000 mHz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 17:29:57 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
1.23579093e-01, -3.4282e+01, 1.8057e+02, -7.8678e+01, 7.4148e+01, 4.4396e+01, -2.5358e+02
1.26965803e-01, -3.4172e+01, 1.7985e+02, -6.6321e+01, 2.0349e+02, 3.2149e+01, -3.8364e+02
1.30445326e-01, -3.4214e+01, 1.8015e+02, -7.5494e+01, 2.7057e+02, 4.1281e+01, -4.5042e+02
1.34020206e-01, -3.4205e+01, 1.7946e+02, -7.7564e+01, 2.0137e+02, 4.3359e+01, -3.8192e+02
1.37693056e-01, -3.4221e+01, 1.8015e+02, -7.4258e+01, 2.3714e+02, 4.0037e+01, -4.1699e+02
1.41466561e-01, -3.4175e+01, 1.8020e+02, -6.9570e+01, 2.1229e+02, 3.5395e+01, -3.9209e+02
1.45343480e-01, -3.4304e+01, 1.7999e+02, -7.1707e+01, 2.0827e+02, 3.7402e+01, -3.8827e+02
1.49326647e-01, -3.4276e+01, 1.8013e+02, -6.9365e+01, 2.0863e+02, 3.5089e+01, -3.8850e+02
1.53418973e-01, -3.4244e+01, 1.7938e+02, -7.4331e+01, 1.9039e+02, 4.0087e+01, -3.7101e+02
1.57623451e-01, -3.4218e+01, 1.7996e+02, -6.8214e+01, 2.4196e+02, 3.3996e+01, -4.2199e+02
1.61943153e-01, -3.4259e+01, 1.7953e+02, -7.7744e+01, 1.4254e+02, 4.3486e+01, -3.2301e+02
1.66381237e-01, -3.4286e+01, 1.8033e+02, -6.9320e+01, 2.0119e+02, 3.5034e+01, -3.8086e+02
1.70940947e-01, -3.4218e+01, 1.8017e+02, -7.3723e+01, 1.9222e+02, 3.9505e+01, -3.7205e+02
1.75625618e-01, -3.4225e+01, 1.7977e+02, -7.3336e+01, 2.3729e+02, 3.9111e+01, -4.1752e+02
1.80438673e-01, -3.4261e+01, 1.8054e+02, -8.4132e+01, 2.6248e+02, 4.9871e+01, -4.4194e+02
1.85383630e-01, -3.4289e+01, 1.8007e+02, -7.7220e+01, 2.5358e+02, 4.2931e+01, -4.3351e+02
1.90464105e-01, -3.4217e+01, 1.7993e+02, -6.8305e+01, 2.4534e+02, 3.4088e+01, -4.2541e+02
1.95683812e-01, -3.4152e+01, 1.8037e+02, -8.3546e+01, 2.8741e+02, 4.9395e+01, -4.6704e+02
2.01046565e-01, -3.4276e+01, 1.7970e+02, -7.2700e+01, 2.0481e+02, 3.8424e+01, -3.8510e+02
2.06556286e-01, -3.4280e+01, 1.7952e+02, -7.2649e+01, 1.8563e+02, 3.8370e+01, -3.6611e+02
2.12217002e-01, -3.4237e+01, 1.8014e+02, -7.1471e+01, 1.7381e+02, 3.7234e+01, -3.5367e+02
2.18032851e-01, -3.4154e+01, 1.7995e+02, -7.5606e+01, 2.4767e+02, 4.1451e+01, -4.2772e+02
2.24008084e-01, -3.4299e+01, 1.7967e+02, -7.5501e+01, 2.5913e+02, 4.1202e+01, -4.3946e+02
2.30147070e-01, -3.4226e+01, 1.8008e+02, -7.4468e+01, 2.4744e+02, 4.0242e+01, -4.2736e+02
2.36454296e-01, -3.4342e+01, 1.8013e+02, -6.8282e+01, 1.9081e+02, 3.3941e+01, -3.7068e+02
2.42934373e-01, -3.4415e+01, 1.7991e+02, -7.0237e+01, 2.0970e+02, 3.5822e+01, -3.8979e+02
2.49592037e-01, -3.4299e+01, 1.7964e+02, -8.2390e+01, 1.9824e+02, 4.8091e+01, -3.7861e+02
2.56432156e-01, -3.4193e+01, 1.7967e+02, -6.9914e+01, 2.0548e+02, 3.5721e+01, -3.8581e+02
2.63459730e-01, -3.4325e+01, 1.7921e+02, -6.7060e+01, 2.0576e+02, 3.2734e+01, -3.8655e+02
2.70679896e-01, -3.4203e+01, 1.8072e+02, -7.2881e+01, 1.4475e+02, 3.8677e+01, -3.2403e+02
2.78097932e-01, -3.4249e+01, 1.8008e+02, -7.4597e+01, 2.9526e+02, 4.0348e+01, -4.7517e+02
2.85719261e-01, -3.4268e+01, 1.7974e+02, -7.4017e+01, 1.9636e+02, 3.9749e+01, -3.7662e+02
2.93549454e-01, -3.4220e+01, 1.8035e+02, -6.4702e+01, 1.8882e+02, 3.0482e+01, -3.6848e+02
3.01594235e-01, -3.4309e+01, 1.7973e+02, -6.7707e+01, 2.1634e+02, 3.3398e+01, -3.9661e+02
3.09859485e-01, -3.4213e+01, 1.8016e+02, -6.4986e+01, 2.1837e+02, 3.0773e+01, -3.9822e+02
3.18351245e-01, -3.4310e+01, 1.8005e+02, -6.7336e+01, 2.0138e+02, 3.3026e+01, -3.8133e+02
3.27075724e-01, -3.4323e+01, 1.7980e+02, -7.5282e+01, 2.4686e+02, 4.0959e+01, -4.2706e+02
3.36039299e-01, -3.4235e+01, 1.8017e+02, -6.9349e+01, 2.4125e+02, 3.5114e+01, -4.2109e+02
3.45248522e-01, -3.4187e+01, 1.8029e+02, -7.3532e+01, 2.0400e+02, 3.9345e+01, -3.8371e+02
3.54710126e-01, -3.4302e+01, 1.7969e+02, -7.8400e+01, 1.6027e+02, 4.4099e+01, -3.4058e+02
3.64431027e-01, -3.4246e+01, 1.8017e+02, -7.0707e+01, 2.2680e+02, 3.6461e+01, -4.0663e+02
3.74418332e-01, -3.4406e+01, 1.7997e+02, -7.4027e+01, 2.3305e+02, 3.9621e+01, -4.1307e+02
3.84679340e-01, -3.4142e+01, 1.7994e+02, -7.0400e+01, 2.1709e+02, 3.6258e+01, -3.9715e+02
