% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset -100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 20.00000 MHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 14:25:23 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
7.68845282e+00, -3.4382e+01, -1.8029e+02, -5.6466e+01, -1.0424e+02, 2.2084e+01, -7.6050e+01
7.94559975e+00, -3.4329e+01, -1.8010e+02, -5.6309e+01, -1.1249e+02, 2.1980e+01, -6.7606e+01
8.21134718e+00, -3.4447e+01, -1.7977e+02, -5.5795e+01, -1.0795e+02, 2.1348e+01, -7.1822e+01
8.48598277e+00, -3.4257e+01, -1.8010e+02, -5.5598e+01, -1.0735e+02, 2.1340e+01, -7.2746e+01
8.76980378e+00, -3.4164e+01, -1.8028e+02, -5.5023e+01, -1.0083e+02, 2.0859e+01, -7.9446e+01
9.06311743e+00, -3.4217e+01, -1.8029e+02, -5.4918e+01, -1.1211e+02, 2.0701e+01, -6.8182e+01
9.36624120e+00, -3.4190e+01, -1.7970e+02, -5.4539e+01, -1.0410e+02, 2.0349e+01, -7.5597e+01
9.67950322e+00, -3.4328e+01, -1.7998e+02, -5.5363e+01, -1.0335e+02, 2.1034e+01, -7.6631e+01
1.00032425e+01, -3.4289e+01, -1.7944e+02, -5.4292e+01, -1.0787e+02, 2.0003e+01, -7.1570e+01
1.03378096e+01, -3.4278e+01, -1.7978e+02, -5.4283e+01, -1.0604e+02, 2.0005e+01, -7.3740e+01
1.06835666e+01, -3.4227e+01, -1.8032e+02, -5.3991e+01, -1.0389e+02, 1.9764e+01, -7.6430e+01
1.10408877e+01, -3.4241e+01, -1.8029e+02, -5.4018e+01, -1.0522e+02, 1.9777e+01, -7.5078e+01
1.14101597e+01, -3.4234e+01, -1.7964e+02, -5.3145e+01, -1.0720e+02, 1.8911e+01, -7.2432e+01
1.17917823e+01, -3.4155e+01, -1.7956e+02, -5.3519e+01, -1.0105e+02, 1.9364e+01, -7.8504e+01
1.21861686e+01, -3.4165e+01, -1.7980e+02, -5.2730e+01, -1.0454e+02, 1.8565e+01, -7.5257e+01
1.25937455e+01, -3.4262e+01, -1.7980e+02, -5.3395e+01, -1.0783e+02, 1.9133e+01, -7.1968e+01
1.30149542e+01, -3.4145e+01, -1.7988e+02, -5.1946e+01, -1.0281e+02, 1.7801e+01, -7.7071e+01
