% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 10.00000 mHz to 500.0000 Hz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-05 T 14:31:23 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 + Ch 2) Magnitude (dBVpp), Math (Ch 1 + Ch 2) Phase (deg)
7.41086417e-02, -3.3987e+01, -1.7999e+02, -1.3868e+01, -1.5645e+02, -1.3110e+01, -1.5852e+02
7.60363940e-02, -3.4044e+01, -1.7972e+02, -1.3846e+01, -1.5626e+02, -1.3095e+01, -1.5830e+02
7.80142919e-02, -3.3936e+01, -1.8023e+02, -1.3836e+01, -1.5549e+02, -1.3083e+01, -1.5766e+02
8.00436400e-02, -3.4008e+01, -1.7969e+02, -1.3768e+01, -1.5514e+02, -1.3025e+01, -1.5726e+02
8.21257765e-02, -3.3921e+01, -1.8014e+02, -1.3712e+01, -1.5465e+02, -1.2972e+01, -1.5686e+02
8.42620746e-02, -3.3881e+01, -1.8048e+02, -1.3633e+01, -1.5389e+02, -1.2902e+01, -1.5618e+02
8.64539432e-02, -3.3951e+01, -1.7998e+02, -1.3593e+01, -1.5342e+02, -1.2871e+01, -1.5568e+02
8.87028279e-02, -3.3943e+01, -1.7925e+02, -1.3564e+01, -1.5307e+02, -1.2841e+01, -1.5530e+02
9.10102116e-02, -3.4037e+01, -1.8002e+02, -1.3489e+01, -1.5255e+02, -1.2787e+01, -1.5484e+02
9.33776163e-02, -3.4048e+01, -1.7994e+02, -1.3439e+01, -1.5172e+02, -1.2747e+01, -1.5405e+02
9.58066031e-02, -3.3968e+01, -1.7898e+02, -1.3380e+01, -1.5129e+02, -1.2682e+01, -1.5359e+02
9.82987739e-02, -3.4045e+01, -1.7995e+02, -1.3297e+01, -1.5057e+02, -1.2621e+01, -1.5295e+02
1.00855772e-01, -3.4058e+01, -1.7978e+02, -1.3255e+01, -1.5040e+02, -1.2583e+01, -1.5277e+02
1.03479285e-01, -3.3996e+01, -1.7965e+02, -1.3134e+01, -1.4979e+02, -1.2470e+01, -1.5218e+02
1.06171041e-01, -3.3925e+01, -1.8042e+02, -1.3114e+01, -1.4898e+02, -1.2455e+01, -1.5151e+02
1.08932817e-01, -3.4025e+01, -1.7955e+02, -1.3047e+01, -1.4828e+02, -1.2399e+01, -1.5075e+02
1.11766434e-01, -3.3799e+01, -1.7979e+02, -1.2957e+01, -1.4783e+02, -1.2304e+01, -1.5038e+02
1.14673760e-01, -3.3957e+01, -1.7952e+02, -1.2896e+01, -1.4737e+02, -1.2260e+01, -1.4988e+02
1.17656713e-01, -3.3994e+01, -1.7996e+02, -1.2795e+01, -1.4657e+02, -1.2176e+01, -1.4913e+02
1.20717261e-01, -3.4015e+01, -1.7992e+02, -1.2697e+01, -1.4590e+02, -1.2091e+01, -1.4847e+02
1.23857420e-01, -3.3937e+01, -1.8042e+02, -1.2609e+01, -1.4551e+02, -1.2009e+01, -1.4814e+02
1.27079264e-01, -3.3848e+01, -1.7957e+02, -1.2552e+01, -1.4465e+02, -1.1950e+01, -1.4729e+02
1.30384915e-01, -3.4014e+01, -1.8001e+02, -1.2444e+01, -1.4430e+02, -1.1865e+01, -1.4691e+02
1.33776555e-01, -3.4031e+01, -1.8040e+02, -1.2348e+01, -1.4353e+02, -1.1784e+01, -1.4618e+02
1.37256420e-01, -3.3892e+01, -1.8043e+02, -1.2264e+01, -1.4316e+02, -1.1700e+01, -1.4585e+02
1.40826805e-01, -3.4033e+01, -1.8031e+02, -1.2158e+01, -1.4242e+02, -1.1613e+01, -1.4508e+02
1.44490064e-01, -3.3930e+01, -1.8050e+02, -1.2094e+01, -1.4178e+02, -1.1552e+01, -1.4450e+02
1.48248614e-01, -3.3954e+01, -1.7986e+02, -1.1941e+01, -1.4114e+02, -1.1410e+01, -1.4381e+02
1.52104934e-01, -3.4019e+01, -1.7938e+02, -1.1840e+01, -1.4072e+02, -1.1318e+01, -1.4334e+02
1.56061566e-01, -3.4007e+01, -1.8051e+02, -1.1748e+01, -1.3997e+02, -1.1243e+01, -1.4268e+02
1.60121120e-01, -3.3957e+01, -1.8057e+02, -1.1638e+01, -1.3936e+02, -1.1141e+01, -1.4209e+02
1.64286273e-01, -3.3946e+01, -1.8034e+02, -1.1515e+01, -1.3880e+02, -1.1028e+01, -1.4152e+02
1.68559773e-01, -3.3999e+01, -1.7924e+02, -1.1376e+01, -1.3821e+02, -1.0895e+01, -1.4084e+02
1.72944437e-01, -3.3935e+01, -1.7939e+02, -1.1285e+01, -1.3797e+02, -1.0808e+01, -1.4061e+02
1.77443157e-01, -3.4026e+01, -1.8008e+02, -1.1157e+01, -1.3717e+02, -1.0702e+01, -1.3983e+02
1.82058900e-01, -3.4023e+01, -1.7977e+02, -1.1012e+01, -1.3658e+02, -1.0566e+01, -1.3922e+02
1.86794710e-01, -3.3946e+01, -1.7942e+02, -1.0893e+01, -1.3611e+02, -1.0450e+01, -1.3874e+02
1.91653710e-01, -3.4065e+01, -1.8038e+02, -1.0780e+01, -1.3539e+02, -1.0359e+01, -1.3804e+02
1.96639106e-01, -3.3949e+01, -1.7965e+02, -1.0633e+01, -1.3480e+02, -1.0213e+01, -1.3743e+02
2.01754184e-01, -3.3937e+01, -1.8033e+02, -1.0511e+01, -1.3444e+02, -1.0104e+01, -1.3709e+02
2.07002318e-01, -3.3993e+01, -1.8023e+02, -1.0348e+01, -1.3375e+02, -9.9545e+00, -1.3636e+02
2.12386969e-01, -3.3961e+01, -1.7968e+02, -1.0206e+01, -1.3352e+02, -9.8154e+00, -1.3608e+02
2.17911689e-01, -3.3967e+01, -1.7972e+02, -1.0103e+01, -1.3292e+02, -9.7209e+00, -1.3548e+02
2.23580120e-01, -3.3998e+01, -1.7952e+02, -9.9132e+00, -1.3236e+02, -9.5435e+00, -1.3487e+02
