% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 10.00000 mHz to 500.0000 Hz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-05 T 14:31:23 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 + Ch 2) Magnitude (dBVpp), Math (Ch 1 + Ch 2) Phase (deg)
3.28691373e+02, -3.3860e+01, -1.8274e+02, 6.3367e+00, -1.8401e+02, 6.4212e+00, -1.8412e+02
3.37241462e+02, -3.3978e+01, -1.8165e+02, 6.2830e+00, -1.8334e+02, 6.3668e+00, -1.8345e+02
3.46013962e+02, -3.3964e+01, -1.8208e+02, 6.3114e+00, -1.8300e+02, 6.3951e+00, -1.8312e+02
3.55014655e+02, -3.3852e+01, -1.8172e+02, 6.3552e+00, -1.8250e+02, 6.4396e+00, -1.8263e+02
3.64249480e+02, -3.3906e+01, -1.8148e+02, 6.3914e+00, -1.8390e+02, 6.4749e+00, -1.8401e+02
3.73724526e+02, -3.3985e+01, -1.8216e+02, 6.3490e+00, -1.8356e+02, 6.4322e+00, -1.8369e+02
3.83446041e+02, -3.3766e+01, -1.8321e+02, 6.4855e+00, -1.8369e+02, 6.5694e+00, -1.8383e+02
3.93420438e+02, -3.3871e+01, -1.8260e+02, 6.3412e+00, -1.8388e+02, 6.4255e+00, -1.8401e+02
4.03654293e+02, -3.3764e+01, -1.8267e+02, 6.3428e+00, -1.8404e+02, 6.4281e+00, -1.8417e+02
4.14154357e+02, -3.3969e+01, -1.8147e+02, 6.1733e+00, -1.8260e+02, 6.2583e+00, -1.8274e+02
4.24927554e+02, -3.3836e+01, -1.8227e+02, 6.3444e+00, -1.8421e+02, 6.4290e+00, -1.8435e+02
4.35980989e+02, -3.3800e+01, -1.8289e+02, 6.2761e+00, -1.8392e+02, 6.3618e+00, -1.8407e+02
4.47321952e+02, -3.3884e+01, -1.8368e+02, 6.4071e+00, -1.8487e+02, 6.4907e+00, -1.8502e+02
4.58957922e+02, -3.3672e+01, -1.8386e+02, 6.5626e+00, -1.8456e+02, 6.6467e+00, -1.8473e+02
4.70896572e+02, -3.3812e+01, -1.8355e+02, 6.4218e+00, -1.8504e+02, 6.5060e+00, -1.8520e+02
4.83145777e+02, -3.3924e+01, -1.8358e+02, 6.3022e+00, -1.8585e+02, 6.3863e+00, -1.8600e+02
4.95713615e+02, -3.3853e+01, -1.8382e+02, 6.4185e+00, -1.8551e+02, 6.5023e+00, -1.8568e+02
5.08608374e+02, -3.3856e+01, -1.8407e+02, 6.4857e+00, -1.8579e+02, 6.5688e+00, -1.8596e+02
5.21838557e+02, -3.3840e+01, -1.8316e+02, 6.3923e+00, -1.8558e+02, 6.4764e+00, -1.8575e+02
5.35412891e+02, -3.3860e+01, -1.8380e+02, 6.4380e+00, -1.8631e+02, 6.5215e+00, -1.8648e+02
5.49340328e+02, -3.3732e+01, -1.8359e+02, 6.4483e+00, -1.8624e+02, 6.5329e+00, -1.8642e+02
5.63630052e+02, -3.3790e+01, -1.8437e+02, 6.4312e+00, -1.8644e+02, 6.5154e+00, -1.8663e+02
5.78291489e+02, -3.3769e+01, -1.8389e+02, 6.4255e+00, -1.8694e+02, 6.5099e+00, -1.8713e+02
5.93334305e+02, -3.3864e+01, -1.8514e+02, 6.3980e+00, -1.8834e+02, 6.4817e+00, -1.8853e+02
6.08768424e+02, -3.3886e+01, -1.8481e+02, 6.4315e+00, -1.8775e+02, 6.5147e+00, -1.8794e+02
6.24604023e+02, -3.3942e+01, -1.8499e+02, 6.4088e+00, -1.8798e+02, 6.4918e+00, -1.8819e+02
6.40851545e+02, -3.4015e+01, -1.8470e+02, 6.3078e+00, -1.8819e+02, 6.3910e+00, -1.8840e+02
6.57521707e+02, -3.3847e+01, -1.8481e+02, 6.4264e+00, -1.8851e+02, 6.5100e+00, -1.8872e+02
6.74625501e+02, -3.3940e+01, -1.8513e+02, 6.3696e+00, -1.8864e+02, 6.4529e+00, -1.8886e+02
6.92174208e+02, -3.3889e+01, -1.8578e+02, 6.4255e+00, -1.8914e+02, 6.5088e+00, -1.8937e+02
7.10179401e+02, -3.3757e+01, -1.8584e+02, 6.4539e+00, -1.8860e+02, 6.5382e+00, -1.8884e+02
7.28652954e+02, -3.3979e+01, -1.8631e+02, 6.4320e+00, -1.8984e+02, 6.5143e+00, -1.9007e+02
7.47607052e+02, -3.4006e+01, -1.8545e+02, 6.3948e+00, -1.9036e+02, 6.4770e+00, -1.9059e+02
7.67054192e+02, -3.3863e+01, -1.8582e+02, 6.4233e+00, -1.9052e+02, 6.5067e+00, -1.9076e+02
7.87007202e+02, -3.4155e+01, -1.8673e+02, 6.3274e+00, -1.9144e+02, 6.4089e+00, -1.9169e+02
8.07479240e+02, -3.3876e+01, -1.8671e+02, 6.3817e+00, -1.9106e+02, 6.4653e+00, -1.9132e+02
8.28483807e+02, -3.3997e+01, -1.8732e+02, 6.4214e+00, -1.9141e+02, 6.5036e+00, -1.9167e+02
8.50034756e+02, -3.3952e+01, -1.8736e+02, 6.3765e+00, -1.9186e+02, 6.4595e+00, -1.9213e+02
8.72146299e+02, -3.3849e+01, -1.8749e+02, 6.3857e+00, -1.9219e+02, 6.4695e+00, -1.9247e+02
8.94833019e+02, -3.4021e+01, -1.8704e+02, 6.2118e+00, -1.9326e+02, 6.2955e+00, -1.9353e+02
9.18109878e+02, -3.3900e+01, -1.8846e+02, 6.3516e+00, -1.9289e+02, 6.4353e+00, -1.9318e+02
9.41992226e+02, -3.3931e+01, -1.8815e+02, 6.3743e+00, -1.9331e+02, 6.4574e+00, -1.9361e+02
9.66495815e+02, -3.4015e+01, -1.8836e+02, 6.3349e+00, -1.9367e+02, 6.4176e+00, -1.9398e+02
9.91636803e+02, -3.4021e+01, -1.8847e+02, 6.3227e+00, -1.9419e+02, 6.4054e+00, -1.9450e+02
1.01743177e+03, -3.4034e+01, -1.8812e+02, 6.2519e+00, -1.9491e+02, 6.3350e+00, -1.9522e+02
1.04389773e+03, -3.3912e+01, -1.8888e+02, 6.3111e+00, -1.9494e+02, 6.3948e+00, -1.9527e+02
1.07105214e+03, -3.3947e+01, -1.8898e+02, 6.2929e+00, -1.9536e+02, 6.3764e+00, -1.9570e+02
1.09891290e+03, -3.3988e+01, -1.8943e+02, 6.2652e+00, -1.9582e+02, 6.3487e+00, -1.9617e+02
1.12749839e+03, -3.4078e+01, -1.9004e+02, 6.2990e+00, -1.9621e+02, 6.3813e+00, -1.9657e+02
1.15682746e+03, -3.4067e+01, -1.8941e+02, 6.2224e+00, -1.9664e+02, 6.3054e+00, -1.9700e+02
1.18691946e+03, -3.4126e+01, -1.9046e+02, 6.2102e+00, -1.9718e+02, 6.2928e+00, -1.9756e+02
1.21779422e+03, -3.3996e+01, -1.8990e+02, 6.2118e+00, -1.9744e+02, 6.2955e+00, -1.9782e+02
1.24947211e+03, -3.4080e+01, -1.9095e+02, 6.1786e+00, -1.9806e+02, 6.2619e+00, -1.9845e+02
1.28197402e+03, -3.4094e+01, -1.9127e+02, 6.1941e+00, -1.9855e+02, 6.2771e+00, -1.9896e+02
1.31532139e+03, -3.4046e+01, -1.9142e+02, 6.1782e+00, -1.9864e+02, 6.2617e+00, -1.9906e+02
1.34953621e+03, -3.4297e+01, -1.9144e+02, 6.0957e+00, -1.9958e+02, 6.1775e+00, -2.0001e+02
1.38464105e+03, -3.4111e+01, -1.9132e+02, 6.1067e+00, -1.9988e+02, 6.1901e+00, -2.0031e+02
1.42065905e+03, -3.4178e+01, -1.9270e+02, 6.0533e+00, -2.0064e+02, 6.1367e+00, -2.0109e+02
1.45761396e+03, -3.4208e+01, -1.9242e+02, 6.0355e+00, -2.0106e+02, 6.1186e+00, -2.0152e+02
1.49553017e+03, -3.4241e+01, -1.9219e+02, 6.0044e+00, -2.0153e+02, 6.0873e+00, -2.0199e+02
1.53443267e+03, -3.4217e+01, -1.9317e+02, 5.9804e+00, -2.0207e+02, 6.0639e+00, -2.0255e+02
1.57434713e+03, -3.4240e+01, -1.9315e+02, 5.9544e+00, -2.0267e+02, 6.0378e+00, -2.0316e+02
1.61529986e+03, -3.4198e+01, -1.9341e+02, 5.9456e+00, -2.0320e+02, 6.0294e+00, -2.0370e+02
1.65731787e+03, -3.4312e+01, -1.9366e+02, 5.8762e+00, -2.0382e+02, 5.9594e+00, -2.0434e+02
1.70042888e+03, -3.4274e+01, -1.9420e+02, 5.8828e+00, -2.0423e+02, 5.9664e+00, -2.0476e+02
1.74466132e+03, -3.4480e+01, -1.9504e+02, 5.8106e+00, -2.0538e+02, 5.8929e+00, -2.0592e+02
1.79004435e+03, -3.4459e+01, -1.9507e+02, 5.7977e+00, -2.0556e+02, 5.8802e+00, -2.0612e+02
1.83660791e+03, -3.4333e+01, -1.9572e+02, 5.7403e+00, -2.0618e+02, 5.8246e+00, -2.0676e+02
1.88438270e+03, -3.4286e+01, -1.9529e+02, 5.7197e+00, -2.0682e+02, 5.8044e+00, -2.0740e+02
1.93340024e+03, -3.4555e+01, -1.9565e+02, 5.6573e+00, -2.0747e+02, 5.7399e+00, -2.0807e+02
1.98369284e+03, -3.4481e+01, -1.9586e+02, 5.6225e+00, -2.0808e+02, 5.7060e+00, -2.0870e+02
2.03529369e+03, -3.4420e+01, -1.9617e+02, 5.5415e+00, -2.0851e+02, 5.6264e+00, -2.0914e+02
2.08823680e+03, -3.4537e+01, -1.9723e+02, 5.5229e+00, -2.0938e+02, 5.6069e+00, -2.1003e+02
2.14255709e+03, -3.4621e+01, -1.9732e+02, 5.4823e+00, -2.1007e+02, 5.5657e+00, -2.1074e+02
2.19829039e+03, -3.4574e+01, -1.9804e+02, 5.4540e+00, -2.1076e+02, 5.5381e+00, -2.1145e+02
2.25547346e+03, -3.4690e+01, -1.9826e+02, 5.3778e+00, -2.1137e+02, 5.4613e+00, -2.1208e+02
2.31414400e+03, -3.4641e+01, -1.9845e+02, 5.3402e+00, -2.1206e+02, 5.4244e+00, -2.1278e+02
2.37434071e+03, -3.4693e+01, -1.9874e+02, 5.2418e+00, -2.1288e+02, 5.3263e+00, -2.1362e+02
2.43610328e+03, -3.4839e+01, -1.9955e+02, 5.2096e+00, -2.1351e+02, 5.2930e+00, -2.1428e+02
2.49947246e+03, -3.4795e+01, -1.9945e+02, 5.1487e+00, -2.1419e+02, 5.2329e+00, -2.1498e+02
2.56449003e+03, -3.4876e+01, -1.9936e+02, 5.1105e+00, -2.1485e+02, 5.1939e+00, -2.1565e+02
2.63119887e+03, -3.4962e+01, -2.0075e+02, 5.0253e+00, -2.1585e+02, 5.1089e+00, -2.1668e+02
2.69964297e+03, -3.4984e+01, -2.0060e+02, 4.9663e+00, -2.1641e+02, 5.0500e+00, -2.1725e+02
2.76986748e+03, -3.4970e+01, -2.0076e+02, 4.9177e+00, -2.1712e+02, 5.0017e+00, -2.1799e+02
2.84191870e+03, -3.4975e+01, -2.0169e+02, 4.8426e+00, -2.1794e+02, 4.9274e+00, -2.1884e+02
2.91584416e+03, -3.5193e+01, -2.0213e+02, 4.7556e+00, -2.1876e+02, 4.8389e+00, -2.1968e+02
2.99169261e+03, -3.5088e+01, -2.0147e+02, 4.6881e+00, -2.1951e+02, 4.7725e+00, -2.2044e+02
3.06951406e+03, -3.5247e+01, -2.0194e+02, 4.5992e+00, -2.2032e+02, 4.6827e+00, -2.2128e+02
3.14935985e+03, -3.5239e+01, -2.0291e+02, 4.5302e+00, -2.2120e+02, 4.6145e+00, -2.2218e+02
3.23128262e+03, -3.5387e+01, -2.0349e+02, 4.4415e+00, -2.2196e+02, 4.5251e+00, -2.2298e+02
3.31533641e+03, -3.5480e+01, -2.0386e+02, 4.3418e+00, -2.2281e+02, 4.4253e+00, -2.2385e+02
3.40157666e+03, -3.5445e+01, -2.0360e+02, 4.2746e+00, -2.2360e+02, 4.3586e+00, -2.2467e+02
3.49006023e+03, -3.5588e+01, -2.0389e+02, 4.1869e+00, -2.2443e+02, 4.2700e+00, -2.2552e+02
3.58084548e+03, -3.5568e+01, -2.0513e+02, 4.1019e+00, -2.2535e+02, 4.1863e+00, -2.2647e+02
3.67399228e+03, -3.5693e+01, -2.0523e+02, 3.9680e+00, -2.2604e+02, 4.0520e+00, -2.2720e+02
3.76956206e+03, -3.5659e+01, -2.0572e+02, 3.9067e+00, -2.2697e+02, 3.9914e+00, -2.2816e+02
3.86761786e+03, -3.5752e+01, -2.0572e+02, 3.7994e+00, -2.2773e+02, 3.8838e+00, -2.2894e+02
3.96822433e+03, -3.5859e+01, -2.0615e+02, 3.6864e+00, -2.2864e+02, 3.7706e+00, -2.2989e+02
4.07144783e+03, -3.5851e+01, -2.0661e+02, 3.6047e+00, -2.2938e+02, 3.6896e+00, -2.3066e+02
4.17735644e+03, -3.6034e+01, -2.0752e+02, 3.4893e+00, -2.3037e+02, 3.5735e+00, -2.3169e+02
4.28601999e+03, -3.6045e+01, -2.0678e+02, 3.3659e+00, -2.3124e+02, 3.4502e+00, -2.3258e+02
4.39751016e+03, -3.6145e+01, -2.0766e+02, 3.2763e+00, -2.3211e+02, 3.3605e+00, -2.3350e+02
4.51190046e+03, -3.6226e+01, -2.0782e+02, 3.1520e+00, -2.3292e+02, 3.2362e+00, -2.3433e+02
4.62926635e+03, -3.6246e+01, -2.0779e+02, 3.0241e+00, -2.3386e+02, 3.1087e+00, -2.3530e+02
4.74968522e+03, -3.6360e+01, -2.0790e+02, 2.8907e+00, -2.3473e+02, 2.9749e+00, -2.3621e+02
4.87323648e+03, -3.6402e+01, -2.0852e+02, 2.8090e+00, -2.3551e+02, 2.8935e+00, -2.3703e+02
5.00000163e+03, -3.6520e+01, -2.0916e+02, 2.6647e+00, -2.3644e+02, 2.7492e+00, -2.3801e+02
