Frequency_Hz,Re_Z_ohm,Im_Z_ohm,NegIm_Z_ohm
41.3315474,262399.77474527265,-627317.6066498454,627317.6066498454
41.9509314,262521.43463469076,-599034.4963684327,599034.4963684327
42.5795972,205470.60993236623,-655376.9089024339,655376.9089024339
43.217684,196379.65286591274,-693852.3102748736,693852.3102748736
43.8653331,159414.2886885357,-611388.4092790246,611388.4092790246
44.5226877,212835.1399920124,-584696.2365223313,584696.2365223313
45.1898932,240704.43211464552,-640995.1314211608,640995.1314211608
45.8670973,153071.96733097362,-548279.1258716739,548279.1258716739
46.5544498,184723.1571423783,-606967.028914721,606967.028914721
47.2521027,130207.639517066,-590743.2966921773,590743.2966921773
47.9602106,221405.07371517888,-574560.8214249233,574560.8214249233
48.6789299,150212.13685235014,-587848.0140178942,587848.0140178942
49.4084198,211421.40327072132,-569529.2431676883,569529.2431676883
50.1488416,143606.38387052668,-521466.3340056941,521466.3340056941
50.9003592,202408.94519663655,-534925.483523314,534925.483523314
51.6631389,187932.28523091524,-572575.8660434361,572575.8660434361
52.4373494,156985.56344785425,-508552.015920741,508552.015920741
53.2231619,146846.3629387231,-524002.0441096628,524002.0441096628
54.0207505,188126.60824657383,-568143.714756884,568143.714756884
54.8302916,183325.18298829094,-496470.96875910263,496470.96875910263
55.6519642,180497.57088658362,-506644.21956245764,506644.21956245764
56.4859501,162154.71338337596,-440107.2140200386,440107.2140200386
57.332434,99058.0329712912,-476156.49193266185,476156.49193266185
58.1916031,102973.79010085606,-509453.92907307076,509453.92907307076
59.0636474,141956.47029203738,-490309.81383939553,490309.81383939553
59.94876,94802.22126478344,-497395.1144368956,497395.1144368956
60.8471367,105664.01436098407,-496215.7323819361,496215.7323819361
61.7589762,118228.86264854645,-445745.3137840193,445745.3137840193
62.6844803,99957.39307162224,-445539.68463280174,445539.68463280174
63.6238537,119315.3828783846,-420363.1695704484,420363.1695704484
64.5773044,145201.15880590645,-408629.62278382917,408629.62278382917
65.5450432,181784.6096242258,-419155.84941024345,419155.84941024345
66.5272843,183612.22747406186,-497275.03537405084,497275.03537405084
67.524245,137229.82175250322,-453440.0088651281,453440.0088651281
68.5361459,122719.90229053223,-393500.2107355718,393500.2107355718
69.563211,130751.45547831694,-391706.19842078135,391706.19842078135
70.6056673,155692.13022810663,-439636.6272127317,439636.6272127317
71.6637456,94871.02430169197,-418522.97320507356,418522.97320507356
72.73768,138701.26365306656,-361423.4140519163,361423.4140519163
73.8277081,144781.29784779358,-416246.419224028,416246.419224028
74.9340711,114287.22715059677,-395439.2617772806,395439.2617772806
76.0570138,148496.1892618327,-416014.517505041,416014.517505041
77.1967846,88835.15480477021,-389906.7724310262,389906.7724310262
78.3536357,151009.9300034494,-340821.45326257474,340821.45326257474
79.527823,107807.05335258905,-392273.3767724124,392273.3767724124
80.7196065,164597.9332678551,-358124.9691121929,358124.9691121929
81.9292497,130436.21666731274,-375405.45301763184,375405.45301763184
83.1570203,133406.45920345315,-350531.360720979,350531.360720979
84.4031899,100096.25436459988,-349399.3171529479,349399.3171529479
85.6680344,129003.65934253846,-364052.7624633547,364052.7624633547
86.9518334,113438.47540940733,-324583.07792140916,324583.07792140916
88.2548712,94389.60590284747,-364059.9413555916,364059.9413555916
89.5774359,134684.8604973808,-329804.7949883689,329804.7949883689
90.9198203,109296.7160268534,-323088.9097408001,323088.9097408001
92.2823212,125220.87196433113,-347395.76475426316,347395.76475426316
93.6652403,119337.18087395864,-349550.4739651008,349550.4739651008
95.0688834,140937.2667475957,-301032.9587085885,301032.9587085885
96.4935612,103495.71090531554,-318697.37419579836,318697.37419579836
97.9395888,123608.32189679256,-314280.4794424609,314280.4794424609
